Nome,Modalidade,Nivel,Agência
EMERSON ALVES MENDONCA DE ABREU,PQ,1D,CNPq
FABIO ENRIQUE BROCHERO MARTINEZ,PQ,1D,CNPq
FABIO BONFIM DUARTE,PQ,1D,CNPq
TULIO MATENCIO,PQ,C,CNPq
JULIO EMILIO DINIZ PEREIRA,PQ,2,CNPq
MANUEL NOEL PAUL GEORGES HOUMARD,PQ,2,CNPq
ELDER ANTONIO SOUSA E PAIVA,PQ,1D,CNPq
SONIA CALDAS PESSOA,PQ,2,CNPq
ALEXANDRE SALLES DA CUNHA,PQ,C,CNPq
SONIA MARIA CARVALHO RIBEIRO,PQ,1D,CNPq
MARIA TEREZA FONSECA DIAS,PQ,2,FAPEMIG
VINICIUS FERNANDES DOS SANTOS,PQ,B,CNPq
ANDRE AUGUSTO GOMES FARACO,DT,1D,CNPq
LUISA CAMPOS CALDEIRA BRANT,PQ,2,CNPq
MARCELO RICARDO PEREIRA,PQ,2,CNPq
MARCOS ANTONIO ALEXANDRE,PQ,1C,CNPq
ALEXANDRE UHLEIN,PQ,2,CNPq
DENISE UTSCH GONCALVES,PQ,B,CNPq
ANA LARISSA ADORNO MARCIOTTO OLIVEIRA,PQ,2,CNPq
RAFAEL MOREIRA CLARO,PQ,1D,CNPq
MARCOS ANDRE GONCALVES,PQ,A,CNPq
LUDMILA RODRIGUES PINTO FERREIRA CAMARGO,PQ,C,CNPq
MARCOS AUGUSTO MENEZES VIEIRA,PQ,1C,CNPq
FABIO LUIZ BURANELO TORAL,PQ,C,CNPq
ADRIANA SILVA FRANCA,PQ,1C,CNPq
TALITA FERNANDA DAS GRACAS SILVA,PQ,2,FAPEMIG
ALLAN CLAUDIUS QUEIROZ BARBOSA,PQ,2,CNPq
RICARDO TOSHIO FUJIWARA,PQ,1B,CNPq
RENES DE RESENDE MACHADO,PQ,C,CNPq
FLAVIO DE LEMOS CARSALADE,PQ,C,CNPq
PEDRO VASCONCELOS MAIA DO AMARAL,PQ,2,CNPq
CARLOS EDUARDO VELASQUEZ CABRERA,PQ,C,CNPq
PAULO SERGIO NASCIMENTO LOPES,PQ,C,CNPq
LUCAS BLEICHER,PQ,2,CNPq
MARCELO RIZZATTI LUIZON,PQ,1D,CNPq
ADALBERTO JOSE DOS SANTOS,PQ,1D,CNPq
ALEXANDRE MENDES ABRAO,PQ,1A,CNPq
RODNEY REZENDE SALDANHA,PQ,1B,CNPq
DIEGO RODRIGUES MACEDO,PQ,2,CNPq
WILLIAN RICARDO ROCHA,PQ,1C,CNPq
FERNANDO MAGNO QUINTAO PEREIRA,PQ,1D,CNPq
VIRGINIA SAMPAIO TEIXEIRA CIMINELLI,PQ,1A,CNPq
LEONARDO JOSE CAMARGOS LARA,PQ,1D,CNPq
ANGELA CRISTINA SALGUEIRO MARQUES,PQ,B,CNPq
ROGERIO MAGALHAES PANIAGO,PQ,1C,CNPq
HELOISA DE OLIVEIRA BERALDO,PQ,1A,CNPq
GISELA PATRICIA ZAPATA ARAUJO,PQ,2,CNPq
WANDER LUIZ VASCONCELOS,PQ,A,CNPq
FERNANDA RADICCHI CAMPOS LOBATO DE ALMEIDA,PQ,2,CNPq
JACQUELINE VENEROSO ALVES DA CUNHA,PQ,2,CNPq
RENATO SANTIAGO GOMEZ,PQ,2,CNPq
GILIANE DE SOUZA TRINDADE,PQ,1B,CNPq
CARLOS ALBERTO AVILA ARAUJO,PQ,C,CNPq
JURI CASTELFRANCHI,PQ,2,CNPq
GILBERTO MEDEIROS RIBEIRO,PQ,1B,CNPq
DEBORAH CARVALHO MALTA,PQ,A,CNPq
FABIANO VARGAS PEREIRA,PQ,2,CNPq
PATRICIA DIAS FRANCA HUCHET,PQ,2,CNPq
CESAR ROSSAS MOTA FILHO,PQ,1D,CNPq
ADRIANA ARAUJO PEREIRA BORGES,PQ,C,CNPq
MIRELA CASTRO SANTOS CAMARGOS,PQ,2,CNPq
SILVIA CAROLINA GUATIMOSIM FONSECA,PQ,1B,CNPq
CARLOS HENRIQUE MONKEN,PQ,1A,CNPq
LUIZ ARNALDO FERNANDES,PQ,2,CNPq
MARCEL GIOVANNI COSTA FRANCA,PQ,B,CNPq
LEONARDO HUMBERTO REZENDE DOS SANTOS,PQ,2,CNPq
JOSE GUILHERME COELHO BAETA,PQ,2,CNPq
FERNANDO MARCOS DOS REIS,PQ,1A,CNPq
CARLA JORGE MACHADO,PQ,1D,CNPq
PEDRO HENRIQUE RODRIGUES PEREIRA,PQ,C,CNPq
MAGNA MARIA INACIO,PQ,2,CNPq
ELSON JOSE DA SILVA,PQ,2,CNPq
FERNANDO HENRIQUE SILVEIRA,PQ,C,CNPq
GABRIEL JUBE UHLEIN,PQ,2,CNPq
ANDRE JOFFILY ABATH,PQ,2,CNPq
EDUARDO ROMEIRO FILHO,PQ,C,CNPq
MARIA CAROLINA DE OLIVEIRA AGUIAR,PQ,2,CNPq
CINTIA APARECIDA CHAGAS,PQ,C,CNPq
RODINEI AUGUSTI,PQ,1C,CNPq
PAULA DE MIRANDA RIBEIRO,PQ,1C,CNPq
